Question,Answer
"Are policies and procedures for the secure disposal of equipment used outside
the organization's premises established, documented, approved, communicated, enforced,
and maintained?
","The only time media is transported out of the controlled area is for destruction or end-of-life.  As part of the reclaim process, data on servers being reclaimed is removed either through a seven-pass Department of Defense (DoD) standard erase or by irrevocably deleting the VHD file for cloud-based systems.  IBM Cloud follows procedures documented in the return material authorization (RMA) and retirement procedures.  Drives that are over four years old will be liquidated and destroyed in accordance with internal procedures.

The Director of Inventory Management is responsible for documenting the overall procedures.
Customers are responsible for ensuring that all sensitive data is properly sanitized prior to release for reuse or out of organizational control.

Non-functioning media undergoes the same treatment.  It is crushed on-site rendering recovery of any data or information impossible.

Where applicable, IBM Cloud coordinates with IBM Global Asset Recovery Services (GARS) for media liquidation. 

All devices containing data are subject to erasure by DoD 5220.22-M algorithms developed by the US Department of Defense.
Non-functioning media undergoes the same treatment.  It is crushed on-site rendering recovery of any data or information impossible."
"Is a data destruction procedure applied that renders information recovery
information impossible if equipment is not physically destroyed?
",Please see DCS-01.1
"Are policies and procedures for the secure disposal of equipment used outside
the organization's premises reviewed and updated at least annually?
","At least annually, policies and procedures are reviewed and updated to ensure that the most current policy is available to company employees via dissemination by management for viewing and commitment. In addition to these annual reviews and updates, policies are updated ad hoc with administrative and content changes."
"Are policies and procedures for the relocation or transfer of hardware, software,
or data/information to an offsite or alternate location established, documented,
approved, communicated, implemented, enforced, maintained?
","At least annually, policies and procedures are reviewed and updated to ensure that the most current policy is available to company employees via dissemination by management for viewing and commitment. In addition to these annual reviews and updates, policies are updated ad hoc with administrative and content changes.

This is governed by the internal Media Protection Policy and realted procedures"
"Does a relocation or transfer request require written or cryptographically
verifiable authorization?
","Inventory relocation/transfer is approved and tracked via an internal ticketing system that requires role authorization, privilege authentication and multi-factor authentication."
"Are policies and procedures for the relocation or transfer of hardware, software,
or data/information to an offsite or alternate location reviewed and updated at
least annually?
","At least annually, policies and procedures are reviewed and updated to ensure that the most current policy is available to company employees via dissemination by management for viewing and commitment. In addition to these annual reviews and updates, policies are updated ad hoc with administrative and content changes."
"Are policies and procedures for maintaining a safe and secure working environment
(in offices, rooms, and facilities) established, documented, approved, communicated,
enforced, and maintained?
","The physical and environmental protection policy is part of an enterprise-wide implementation of approved operating policies and is consistent with other corporate policies.  This policy describes how physical and environmental protection controls are implemented within IBM Cloud facilities.  It defines roles, responsibilities, management commitment, purpose, and scope.

This documentation is updated at least annually, or when there is a significant change in the environment, by the Compliance team with assistance from relevant groups."
"Are policies and procedures for maintaining safe, secure working environments
(e.g., offices, rooms) reviewed and updated at least annually?
","At least annually, policies and procedures are reviewed and updated to ensure that the most current policy is available to company employees via dissemination by management for viewing and commitment. In addition to these annual reviews and updates, policies are updated ad hoc with administrative and content changes.

These are detailed in the Physical and Environment Security Policies and related procedures"
"Are policies and procedures for the secure transportation of physical media
established, documented, approved, communicated, enforced, evaluated, and maintained?
","Transport of physical media from infrastructure system is prohibited for any other reason than the physical destruction of the media

IBM Cloud IaaS employs a decommissioning  and  reclaim process for all hardware being reclaimed or determined to be end of life.  The reclaimed drive is wiped using the DOD 5220.22-M algorithms. If a device is determined to be end of life the hardware is wiped using the same method described above, then the device is physically crushed onsite."
"Are policies and procedures for the secure transportation of physical media
reviewed and updated at least annually?
","At least annually, policies and procedures are reviewed and updated to ensure that the most current policy is available to company employees via dissemination by management for viewing and commitment. In addition to these annual reviews and updates, policies are updated ad hoc with administrative and content changes."
"Is the classification and documentation of physical and logical assets based
on the organizational business risk?
","Assets are registered in a central inventory management system; classification is a required element.

As part of the IBM services ISMS, all assets are required to be logged in a central inventory.  Required information includes criticality rating, geographic location, and contact information for the business and security owners. Owner and contact information is maintained and verified regularly to maintain accuracy."
"Are all relevant physical and logical assets at all CSP sites cataloged and
tracked within a secured system?
","Assets are registered in a central inventory management system; classification is a required element

Access to the system is restricted based on least privilege. Data center sub-service providers maintain physical security perimeters

These are detailed in the Physical and Environment Security Policies and related procedures."
"Are physical security perimeters implemented to safeguard personnel, data,
and information systems?
","Data center sub-service providers maintain physical security perimeters

These are detailed in the Physical and Environment Security Policies and related procedures


"
"Are physical security perimeters established between administrative and business
areas, data storage, and processing facilities?
","Data center sub-service providers implement and maintain physical access control systems.

These are detailed in the Physical and Environment Security Policies and related procedures.

All access to sensitive and supporting equipment, including transmission lines,  within the IBM Cloud IaaS environment and data centre is secured using key-card access and/or biometric scans."
"Is equipment identification used as a method for connection authentication?
",This is implemented as a part of the overall asset management process.
"Are solely authorized personnel able to access secure areas, with all ingress
and egress areas restricted, documented, and monitored by physical access control
mechanisms?
","Data center sub-service providers implement and maintain physical access control systems

Physical access is controlled through key card proximity systems at each facility and server room. Access to and throughout each facility, including sensitive areas, such as electrical, generator, UPS, batteries, fire riser/sprinkler, and HVAC equipment is restricted and server room access is limited to authorized personnel.  Each data center has two-factor authentication utilizing biometric and card access systems.

IBM Cloud IaaS personnel are provided physical access based on their job responsibilities. Access to data centers for new hires and transfers is formally requested and requires approval based on job responsibility and location.

Individuals requiring access to the data center without an authorized key card, such as visitors, customers, contractors, or vendors must sign in at the security desk or with the Data Center Control Room (DCR). Visitors are required to be escorted by authorized personnel. The individual must provide a valid government issued photo identification card for identity verification. Visitors at data centers are required to wear identification cards to distinguish the person as a visitor. Temporary key cards are disabled after a predefined time, typically a 24-hour period."
"Are access control records retained periodically, as deemed appropriate by
the organization?
",Physical access rights are revalidated on a quarterly basis; data center sub-service providers maintain access control records
"Are external perimeter datacenter surveillance systems and surveillance systems
at all ingress and egress points implemented, maintained, and operated?
","Each data center has a full-time IBM Cloud IaaS site manager on-site. The site manager and members of the facility teams are responsible for monitoring the IBM Cloud IaaS server rooms on a daily basis and reporting any compromised access or environmental issues to the facility vendor for remediation. The vendors monitor the physical access systems centrally at each location and will alert the IBM Cloud IaaS site manager to any unauthorized access attempts. Major events are communicated by the IBM Cloud IaaS site manager to the central IBM Cloud IaaS Facilities Team.

Surveillance cameras are strategically located within in each data center to deter unauthorized access. Security personnel monitor key card access throughout the building in real time and address any issues, such as emergency doors ajar, doors left open, and failed access attempts. Security events are communicated to the IBM Cloud IaaS site manager and to the central IBM Cloud IaaS Facilities Team, as necessary."
"Are datacenter personnel trained to respond to unauthorized access or egress
attempts?
",Each data center has a full-time IBM Cloud IaaS site manager on-site. The site manager and members of the facility teams are responsible for monitoring the IBM Cloud IaaS server rooms on a daily basis and reporting any compromised access or environmental issues to the facility vendor for remediation
"Are processes, procedures, and technical measures defined, implemented, and
evaluated to ensure risk-based protection of power and telecommunication cables
from interception, interference, or damage threats at all facilities, offices,
and rooms?
","Processes, procedures, and technical measures are defined and implemented as part of the Physical and Environment Security Policy and related procedures.

Annual location risk analysis are performed at every IBM Cloud data centers

Data center sub-service providers implement and maintain physical security systems at IBM Cloud data centers"
"Are data center environmental control systems designed to monitor, maintain,
and test that on-site temperature and humidity conditions fall within accepted
industry standards effectively implemented and maintained?
","Data center facilities are managed and maintained by sub-service providers to ensure adequate environmental controls are in place for the protection of equipment and the availability of customer data and services provided. Management reviews maintenance reports performed on a periodic basis to determine and schedule additional maintenance, where necessary; this includes temperature and humidity monitoring and control.

Build Management System (BMS) provides constant monitoring and realtime alerts

"
"Are utility services secured, monitored, maintained, and tested at planned
intervals for continual effectiveness?
","Data center facilities are managed and maintained by sub-service providers to ensure adequate environmental controls are in place for the protection of equipment and the availability of customer data and services provided. Management reviews maintenance reports performed on a periodic basis to determine and schedule additional maintenance, where necessary; this includes temperature and humidity monitoring and control.

Build Management System (BMS) provides constant monitoring and realtime alerts

"
"Is business-critical equipment segregated from locations subject to a high
probability of environmental risk events?
",Site risk analysis are performed when considering a new location for an IBM Cloud data center.
"Are policies and procedures established, documented, approved, communicated,
enforced, evaluated, and maintained for the classification, protection, and handling
of data throughout its lifecycle according to all applicable laws and regulations,
standards, and risk level?
","IBM has policies and processes that meet or exceed industry standards' requirements for the management of information, including compliance with legal, regulatory and contractual obligations around privacy such as GDPR.  These policies, procedures and annual training are made available to the entire IBM workforce and the annual training is a requirement of employment.

Each IBM service is designed to process data to the extent stated in the relevant service description. 

Per IBM policy, standards, and processes, all information is classified by the data owner according to criteria which includes type, value, confidentiality, and criticality. 

For most IBM services the customers are the data owners.  IBM provides the data owners with the types and classifications of information the product or service offering is designed to accommodate, which allows the customers to decide whether the offering meets their requirements."
"Are data security and privacy policies and procedures reviewed and updated
at least annually?
","At least annually, policies and procedures are reviewed and updated to ensure that the most current policy is available to company employees via dissemination by management for viewing and commitment. In addition to these annual reviews and updates, policies are updated ad hoc with administrative and content changes."
"Are industry-accepted methods applied for secure data disposal from storage
media so information is not recoverable by any forensic means?
","IBM Cloud IaaS employs a decommissioning  and  reclaim process for all hardware being reclaimed.  The reclaimed drive is wiped using the DOD 5220.22-M algorithms. If a device is determined to be end of life the hardware is wiped using the same method described above, then the device is physically crushed onsite.

Methods adhire to NIST 800-88 r1 "
"Is a data inventory created and maintained for sensitive and personal information
(at a minimum)?
","IBM mandates the use of security classifications such as IBM Confidential and IBM Proprietary.  IBM Cloud treats all customer data as IBM Confidential, because it has no insight into the data customers place into IBM Cloud.

All IBM service systems storing, and processing client data have documented business and security owners who are responsible for maintaining such records and classifications and ensuring compliance with associated requirements.  

See IBM Privacy site for documented details on how IBM protects data including the general principles that apply to the processing of Personal Information by IBM
https://www.ibm.com/trust/privacy"
"Is data classified according to type and sensitivity levels?
","IBM mandates the use of security classifications such as IBM Confidential and IBM Proprietary.  IBM Cloud treats all customer data as IBM Confidential, because it has no insight into the data customers place into IBM Cloud."
"Is data flow documentation created to identify what data is processed and
where it is stored and transmitted?
","IBM Cloud IaaS does not access, modify, delete, or retain customer data outside the terms of the customer service agreement. Customers retain full control of their data"
"Is data flow documentation reviewed at defined intervals, at least annually,
and after any change?
","IBM Cloud Infrastructure Services does not have insight into the type of data stored on customer systems

The customer should develop and maintain processes to insure data quality and integrity that will help them achieve their desired level of compliance. 

IBM Cloud IaaS does not access, modify, delete, or retain customer data outside the terms of the customer service agreement. Customers retain full control of their data"
"Is the ownership and stewardship of all relevant personal and sensitive data
documented?
","Responsibilities regarding data stewardship are documented and communicated in the IBM Cloud IaaS customer agreement.

Please see the IBM Cloud IaaS Terms and Notices here:
https://cloud.ibm.com/docs/overview/terms-of-use?topic=overview-terms#terms"
"Is data ownership and stewardship documentation reviewed at least annually?
","Responsibilities regarding data stewardship are documented and communicated in the IBM Cloud IaaS customer agreement.

Please see the IBM Cloud IaaS Terms and Notices here:
https://cloud.ibm.com/docs/overview/terms-of-use?topic=overview-terms#terms"
"Are systems, products, and business practices based on security principles
by design and per industry best practices?
",IBM Cloud security and privacy by design is made up as a set of industry practices that are required to be implemented internally and across all IBM Cloud offerings
"Are systems, products, and business practices based on privacy principles
by design and according to industry best practices?
","IBM Cloud security and privacy by design is made up as a set of industry practices that are required to be implemented internally and across all IBM Cloud offerings.

Security & Privacy by Design (SPbD) at IBM is a simplified and agile set of focused security and privacy practices including threat models, privacy assessments, security testing and vulnerability management. "
"Are systems' privacy settings configured by default and according to all applicable
laws and regulations?
",IBM Cloud security and privacy by design is made up as a set of industry practices that are required to be implemented internally and across all IBM Cloud offerings
"Is a data protection impact assessment (DPIA) conducted when processing personal
data and evaluating the origin, nature, particularity, and severity of risks according
to any applicable laws, regulations and industry best practices?
","Please reference the following links for details


https://www.ibm.com/privacy?mhsrc=ibmsearch_a&mhq=Cloud%20Privacy%20agreement


http://www.ibm.com/dpa "
"Are processes, procedures, and technical measures defined, implemented, and
evaluated to ensure any transfer of personal or sensitive data is protected from
unauthorized access and only processed within scope (as permitted by respective
laws and regulations)?
","Please reference the IBM Cloud Services agreement for details

https://www.ibm.com/support/customer/pdf/terms/csa_th.pdf

"
"Are processes, procedures, and technical measures defined, implemented, and
evaluated to enable data subjects to request access to, modify, or delete personal
data (per applicable laws and regulations)?
","Please reference the following links for details:

https://www.ibm.com/support/customer/pdf/terms/csa_th.pdf

https://www.ibm.com/privacy?mhsrc=ibmsearch_a&mhq=Cloud%20Privacy%20agreement


http://www.ibm.com/dpa 
"
"Are processes, procedures, and technical measures defined, implemented, and
evaluated to ensure personal data is processed (per applicable laws and regulations
and for the purposes declared to the data subject)?
","Please reference the following links for details:

https://www.ibm.com/support/customer/pdf/terms/csa_th.pdf

https://www.ibm.com/privacy?mhsrc=ibmsearch_a&mhq=Cloud%20Privacy%20agreement


http://www.ibm.com/dpa 
"
"Are processes, procedures, and technical measures defined, implemented, and
evaluated for the transfer and sub-processing of personal data within the service
supply chain (according to any applicable laws and regulations)?
","Please reference the following links for details:

https://www.ibm.com/support/customer/pdf/terms/csa_th.pdf

https://www.ibm.com/privacy?mhsrc=ibmsearch_a&mhq=Cloud%20Privacy%20agreement


http://www.ibm.com/dpa 
"
"Are processes, procedures, and technical measures defined, implemented, and
evaluated to disclose details to the data owner of any personal or sensitive data
access by sub-processors before processing initiation?
","Please reference the following links for details:

https://www.ibm.com/support/customer/pdf/terms/csa_th.pdf

https://www.ibm.com/privacy?mhsrc=ibmsearch_a&mhq=Cloud%20Privacy%20agreement


http://www.ibm.com/dpa 
"
"Is authorization from data owners obtained, and the associated risk managed,
before replicating or using production data in non-production environments?
","By policy, production data is not used in non-production environments"
"Do data retention, archiving, and deletion practices follow business requirements,
applicable laws, and regulations?
","By policy, Cloud Infrastructure Services has secure development proceses in place which include secure coding practices, automated static and dynamic code analysis, and dynamic scanning of internet-facing endpoints.  Security Acceptance testing must either block delivery of the code in event of a security test failure, e.g. for static code analysis, or have a traceable process that can be audited to confirm acceptance of the tests, e.g. acceptance of false positives in dynamic code scans"
"Are processes, procedures, and technical measures defined and implemented
to protect sensitive data throughout its lifecycle?
","For internal data, access is restricted using Active Directory Security groups to enforce least privilege principles."
"Does the CSP have in place, and describe to CSCs, the procedure to manage
and respond to requests for disclosure of Personal Data by Law Enforcement Authorities
according to applicable laws and regulations?
","Please reference the following agreements:

https://www.ibm.com/support/customer/pdf/terms/csa_th.pdf

https://www.ibm.com/privacy?mhsrc=ibmsearch_a&mhq=Cloud%20Privacy%20agreement


http://www.ibm.com/dpa 


"
"Does the CSP give special attention to the notification procedure to interested
CSCs, unless otherwise prohibited, such as a prohibition under criminal law to
preserve confidentiality of a law enforcement investigation?
","Please reference the following agreements:

https://www.ibm.com/support/customer/pdf/terms/csa_th.pdf

https://www.ibm.com/privacy?mhsrc=ibmsearch_a&mhq=Cloud%20Privacy%20agreement


http://www.ibm.com/dpa 


"
"Are processes, procedures, and technical measures defined and implemented
to specify and document physical data locations, including locales where data
is processed or backed up?
","IBM Cloud IaaS has datacenters around the globe, during the ordering process the customer has the ability to select the data center in which they would like their solution to be deployed.  IBM Cloud IaaS will not maintain or move customers’ data without first notifying the customer, unless required by law."
"Are information governance program policies and procedures sponsored by organizational
leadership established, documented, approved, communicated, applied, evaluated,
and maintained?
","IBM Public Cloud manages risks via a consistent risk strategy, aligned with IBM Corporate risk strategy, - any risks are timebound, have an executive owner and must be evaluated periodically to determine if the risk profile has changed.

Identified risks are catalogued and managed in a manner consistent with industry-accepted standards. Risk treatment plans define acceptable mitigation level, resolution time frame, and mitigation roles and responsibilities, and require executive review and approval.

IBM top-level executives have established multiple layers of policy, process, and procedure that require the IBM workforce to establish and implement information governance as part of their activities. These policies, processes, and procedures are part of the required annual education for all of IBM's workforce. IBM has terms of employment that enjoin all employees to meet all legal, contractual, and ethical obligations. As part of the employment offer package, confidential disclosure agreements (CDAs/NDAs) are signed by all employees. Annual business conduct guidelines training is required of all employees and verifies they are aware of disciplinary action policies.  

As part of its annual reviews of all corporate directives, policies, standards, processes, and procedures, IBM reviews changes to the threat landscape in light of ongoing risk assessments.  Other events, including new threats and vulnerabilities, may cause this process to be initiated more frequently.  

Following strict change management practices, appropriate changes and updates are made, reviewed/approved by the appropriate level of executive management and implemented.
Supply-chain management enables vendors and contractors to be aware of any changes and verifies they meet the same requirements."
"Are the policies and procedures reviewed and updated at least annually?
","At least annually, policies and procedures are reviewed and updated to ensure that the most current policy is available to company employees via dissemination by management for viewing and commitment. In addition to these annual reviews and updates, policies are updated ad hoc with administrative and content changes."
"Is there an established formal, documented, and leadership-sponsored enterprise
risk management (ERM) program that includes policies and procedures for identification,
evaluation, ownership, treatment, and acceptance of cloud security and privacy
risks?
","IBM Cloud is required to participate in Management Self Assessment of Controls (MSAC) which documents continual risk management on a quarterly basis for IBM Cloud IaaS to identify, assess, mitigate, and monitor risk for its IaaS. This includes risk evaluation, ownership, treatment and acceptance.

IBM top-level executives have established multiple layers of policy, process, and procedure that require the IBM workforce to establish and implement information governance as part of their activities. These policies, processes, and procedures are part of the required annual education for all of IBM's workforce. IBM has terms of employment that enjoin all employees to meet all legal, contractual, and ethical obligations. As part of the employment offer package, confidential disclosure agreements (CDAs/NDAs) are signed by all employees. Annual business conduct guidelines training is required of all employees and verifies they are aware of disciplinary action policies.  

As part of its annual reviews of all corporate directives, policies, standards, processes, and procedures, IBM reviews changes to the threat landscape in light of ongoing risk assessments.  Other events, including new threats and vulnerabilities, may cause this process to be initiated more frequently.  

Following strict change management practices, appropriate changes and updates are made, reviewed/approved by the appropriate level of executive management and implemented.
Supply-chain management enables vendors and contractors to be aware of any changes and verifies they meet the same requirements."
"Are all relevant organizational policies and associated procedures reviewed
at least annually, or when a substantial organizational change occurs?
","At least annually, policies and procedures are reviewed and updated to ensure that the most current policy is available to company employees via dissemination by management for viewing and commitment. In addition to these annual reviews and updates, policies are updated ad hoc with administrative and content changes."
"Is an approved exception process mandated by the governance program established
and followed whenever a deviation from an established policy occurs?
","When exceptions are identified, the system owner provides a business justification with approval from senior management; approval from senior management denotes acceptance of the risk associated with the exception.  Requests for deviations follow established internal processes "
"Has an information security program (including programs of all relevant CCM
domains) been developed and implemented?
","IBM corporate policies directly address most aspects of information security and the certified ISMS/PIMS covers those aspects as well as extended requirements to help ensure all statutory, regulatory, and contractual obligations are met.

Independent reviews, including regular penetration testing, and audits (e.g. ISO27001, ISO27701, SOC2, etc.) are conducted at least annually.  Information Security and Privacy Risk assessments and treatment plans are a key part of these reviews. The results are reviewed by executive management and action plans put in place, approved by management, implemented, and tracked to completion.  Non-conformities from previous control testing and audit cycles are checked in subsequent internal audits and corrective actions are reviewed with executive management regularly and during external audits. "
"Are roles and responsibilities for planning, implementing, operating, assessing,
and improving governance programs defined and documented?
","This is part of the IBM policies, processes, and implementing procedures as described in GRC-01.1 above."
"Are all relevant standards, regulations, legal/contractual, and statutory
requirements applicable to your organization identified and documented?
","This is part of the IBM policies, processes, and implementing procedures as described in GRC-01.1, GRC-04.1, and GRC-05.1 above."
"Is contact established and maintained with cloud-related special interest
groups and other relevant entities?
",IBM Cloud CISO Office maintains membership in threat intelligence groups that analyze commonalities and produce indicators of compromise across industries
"Are background verification policies and procedures of all new employees (including
but not limited to remote employees, contractors, and third parties) established,
documented, approved, communicated, applied, evaluated, and maintained?
","IBM maintains and follows mandatory employment verification requirements for all new hires. In accordance with IBM internal process and procedures, these requirements are periodically reviewed and include, but may not be limited to, criminal background checks, proof of identity validation, and additional checks as deemed necessary by IBM. "
"Are background verification policies and procedures designed according to
local laws, regulations, ethics, and contractual constraints and proportional
to the data classification to be accessed, business requirements, and acceptable
risk?
","IBM’s hiring practices mandate minimum criteria that each potential candidate must meet. A key component of IBM’s hiring process is an established set of Global Employment Verification Standards (GEVS) criteria applicable to regulars, non-regulars (fixed term, supplemental), and interns/students. A reduced set of criteria is applicable to transitioning employees from acquisitions and outsourcing deals.

There may be specific country-level verification and exception criteria that must also be assessed based on local statutory requirements, inherent country risk factors, industry practices or known contractual requirements."
"Are background verification policies and procedures reviewed and updated at
least annually?
","All policies, processes, and procedures are reviewed at least annually.  As appropriate, management review and approval are required and that is captured in the document change controls."
"Are policies and procedures for defining allowances and conditions for the
acceptable use of organizationally-owned or managed assets established, documented,
approved, communicated, applied, evaluated, and maintained?
","This is part of the Business Conduct Guidelines

IBM’s Business Conduct Guidelines (BCG) define the standards of acceptable business conduct for all IBM employees worldwide, including but not limited to topics such as: anti-bribery, gifts and amenities, competition, conflict of interest, intellectual property, books and records, working with third parties, etc.  

IBM annually reviews and updates the BCG content, as needed, in order to comply with IBM policies, regional laws and regulations and external guidance. Employees certify that they have read and will comply with the IBM BCG as new employees and re-certify annually thereafter. The certification process, including completion of a BCG education course, is tracked by the IBM legal department and the employee's manager"
"Are the policies and procedures for defining allowances and conditions for
the acceptable use of organizationally-owned or managed assets reviewed and updated
at least annually?
","IBM’s mobile device policy is documented and provided to all employees on the IBM intranet, including limitations to hardware, software, and acceptable use.  

IBM's endpoint security agents is required on all workstations (desktops and laptops) and mobile devices that connect to the IBM network or being used for IBM business, regardless of ownership. IBM endpoint security agents enforce a set of security controls including full disk encryption and ensures all required packages are installed and up to date.

Remote access is permitted only through designated ingress points, e.g. two-factor authenticated bastion hosts for IaaS. The use of unauthorized network devices and connection methods is prohibited. All remote access is logged.

At least annually, policies and procedures are reviewed and updated to ensure that the most current policy is available to company employees via dissemination by management for viewing and commitment. In addition to these annual reviews and updates, policies are updated ad hoc with administrative and content changes."
"Are policies and procedures requiring unattended workspaces to conceal confidential
data established, documented, approved, communicated, applied, evaluated, and
maintained?
","These policies are maintained by IBM Corporate Security; they provide advice ,guidance, support and assistance to IBM’s operating units to ensure that security programs are developed, implemented and maintained.

Clean Desk policy is an IBM Global policy and is included in the IaaS yearly BCG program recertification. Screen locking on all devices is implemented in accordance to IBM Global Policy configurations. "
"Are policies and procedures requiring unattended workspaces to conceal confidential
data reviewed and updated at least annually?
","At least annually, policies and procedures are reviewed and updated to ensure that the most current policy is available to company employees via dissemination by management for viewing and commitment. In addition to these annual reviews and updates, policies are updated ad hoc with administrative and content changes."
"Are policies and procedures to protect information accessed, processed, or
stored at remote sites and locations established, documented, approved, communicated,
applied, evaluated, and maintained?
",Cloud Infrastructure Services does not leverage remotes sites for data storage
"Are policies and procedures to protect information accessed, processed, or
stored at remote sites and locations reviewed and updated at least annually?
",Cloud Infrastructure Services does not leverage remotes sites for data storage
"Are return procedures of organizationally-owned assets by terminated employees
established and documented?
","IBM maintains and follows formal documented policies and procedures for the return of company-owned assets upon termination of employment and expiration of external business relationships.

Users are not issued any security-related information system related property besides key fobs and badges.  IBM's HR exit interview includes collection of badges, computers, and any other IBM-issued assets.

IBM Cloud terminates all physical and logical access upon separation. Access to organizational information and systems is removed as part of the off-boarding process. HR notifies an email distribution list immediately after separation occurs to begin the removal process; this list includes HR, IBM Cloud Site Managers, and department managers."
"Are procedures outlining the roles and responsibilities concerning changes
in employment established, documented, and communicated to all personnel?
","Roles and responsibilities of employees, contractors, and third-party users are documented as they relate to information assets, security, and privacy within IBM information security policies and made available on the IBM intranet.

Roles and responsibilities are further addressed in mandatory annual info- & cyber-security and privacy training."
"Are employees required to sign an employment agreement before gaining access
to organizational information systems, resources, and assets?
","All IBM employees must sign CDAs/NDAs and agree to acceptable use terms before hiring, and are required to reaffirm that acceptance during the required annual cybersecurity and privacy training."
"Are provisions and/or terms for adherence to established information governance
and security policies included within employment agreements?
","IBM’s Business Conduct Guidelines (BCG) define the standards of acceptable business conduct for all IBM employees worldwide, including but not limited to topics such as: anti-bribery, gifts and amenities, competition, conflict of interest, intellectual property, books and records, working with third parties, etc.  IBM annually reviews and updates the BCG content, as needed, in order to comply with IBM policies, regional laws and regulations and external guidance. Employees certify that they have read and will comply with the IBM BCG as new employees and re-certify annually thereafter. The certification process, including completion of a BCG education course, is tracked by the IBM legal department and the employee's manager."
"Are employee roles and responsibilities relating to information assets and
security documented and communicated?
",Please see respone HRS-08.1
"Are requirements for non-disclosure/confidentiality agreements reflecting
organizational data protection needs and operational details identified, documented,
and reviewed at planned intervals?
","Non-disclosure/confidentiality agreements, and other contracts are based on the IBM policies, processes, and procedures.  As those documents are changed, the NDAs/CDA and other agreements are changed as appropriate.  

See HRS-07.1 also the previous HRS responses."
"Is a security awareness training program for all employees of the organization
established, documented, approved, communicated, applied, evaluated and maintained?
","IBM mandates annual business conduct and cyber-awareness training for all employees.  IBM further requires all contractors, vendors and other onsite personnel to be certified by their employer to have completed the equivalent annual training.  Further training and certifications are required for some types of data access (e.g. HIPAA data).

IBM Cloud evaluates the suitability of available training at least annually."
"Are regular security awareness training updates provided?
",See HRS-011.1
"Are all employees granted access to sensitive organizational and personal
data provided with appropriate security awareness training?
","Some areas require specialized security and privacy training such as HIPAA-relevant PHI handling and that training is required, provided, updated as appropriate, and tracked.

See HRS-011.1
"
"Are all employees granted access to sensitive organizational and personal
data provided with regular updates in procedures, processes, and policies relating
to their professional function?
",See HRS-12.1 and other HRS responses.
"Are employees notified of their roles and responsibilities to maintain awareness
and compliance with established policies, procedures, and applicable legal, statutory,
or regulatory compliance obligations?
","On at least an annual basis or as relevant changes occur.

See HRS-11.1 and other HRS responses."
"Are identity and access management policies and procedures established, documented,
approved, communicated, implemented, applied, evaluated, and maintained?
","IBM Identity and Access Management (IAM) provides Identity and Access Management Strategy and Assessment services to meet complex security, compliance and business agility goals. https://www.ibm.com/security/services/identity-access-management/strategy-and-assessment-services

IBM Cloud access management policies build on IBM enterprise policies to define standards for privileged access to physical and logical assets by individuals who are authenticated and have approved roles. They ensure least privilege and separation of duties as part of those access management policies.

IBM enterprise and IBM Cloud polies are reviewed and updated, where necessary, on at least an annual basis."
"Are identity and access management policies and procedures reviewed and updated
at least annually?
",See IAM-01.1 response.
"Are strong password policies and procedures established, documented, approved,
communicated, implemented, applied, evaluated, and maintained?
","IBM Cloud supports standard IBMid password requirements and lockout characteristics. However, tenants that choose to federate their Identity Providers for IBM Cloud authentication have the ability to manage their own password requirements and lockout characteristics in their Identity Provider. "
"Are strong password policies and procedures reviewed and updated at least
annually?
","Every policy, process, and procedure is reviewed at least once a year.
Management review and approval are required as needed, and this is reflected in the document change controls. "
"Is system identity information and levels of access managed, stored, and reviewed?
","IBM cloud provides Identity Governance and management services which includes Access request and approval, Application onboarding, Periodic access recertification, Roles and Segregation of duties management, Access provisioning and remediation, Advance auditing and intelligence. https://www.ibm.com/security/digital-assets/iam/navigate-cloud-iam-wp/

IAM provides an access control model for accessing all IBM Cloud services and resources. This is utilized to provide role based privileged access to applicable security relevant services and resources
BareMetal and OS based access control is enforced via AD Security groups.

System identity information and levels of access are managed and reviewed as part of the IBM requirement for Continued Business Need (CBN) and privilege revalidation, which occurs on an annual basis for all IDs/privileges.

"
"Is the separation of duties principle employed when implementing information
system access?
","IBM requires all IBM services to complete a detailed Separation of Duties (SOD) matrix based on tasks, roles, and the personnel assigned to those roles.

This matrix must be approved by management and kept as an exhibit for both internal and external audits. 

See IAM-03.1 response."
"Is the least privilege principle employed when implementing information system
access?
","Approval is required from both the employee manager for new accounts and the system access owner when access is added to an account. This provides the user with role based access to the requested system, enforced via access management technologies such as LDAP. Password policy per IBM IT standards are enforced for such accounts.

IBM Cloud has a reconciliation processes which verify that all privileged users are still valid in the IBM Employee directory.

All successful and failed logins are logged and sent in near real-time to IBM QRadar SIEM.

Access to customer data and application metadata may be required to provide customer support, or troubleshoot the service. Information about any potential access to that data from outside that region are documented and made available to customers.

IBM cloud provides Cloud IAM or IDaaS (Identity as a service) which are segregated by virtualisation, and orchestration & automation.
https://www.ibm.com/blogs/cloud-computing/2016/08/16/design-considerations-multi-tenant-cloud/

IBM Cloud Identity and Access Management enforces authorization on every request to ensure Customers can only access their own data. "
"Is a user access provisioning process defined and implemented which authorizes,
records, and communicates data and assets access changes?
",See IAM-01.1 response.
